reading_id,timestamp,temperature_C,vibration_mm_s,status
50,2026-09-15 13:51:04,56.93,1.77,OK
51,2026-09-15 13:51:34,66.37,2.37,OK
52,2026-09-15 13:52:04,86.78,6.34,ALERT
53,2026-09-15 13:52:34,60.59,2.31,OK
54,2026-09-15 13:53:04,54.9,1.71,OK
55,2026-09-15 13:53:34,61.15,1.64,OK
56,2026-09-15 13:54:04,55.24,2.26,OK
57,2026-09-15 13:54:34,59.02,1.11,OK
58,2026-09-15 13:55:04,64.14,2.35,OK
59,2026-09-15 13:55:34,62.44,1.65,OK
60,2026-09-15 13:56:04,55.04,2.2,OK
61,2026-09-15 13:56:34,60.01,3.36,OK
62,2026-09-15 13:57:04,94.06,6.93,ALERT
63,2026-09-15 13:57:34,71.2,1.73,OK
64,2026-09-15 13:58:04,62.89,2.6,OK
65,2026-09-15 13:58:34,58.59,2.12,OK
66,2026-09-15 13:59:04,63.91,1.96,OK
67,2026-09-15 13:59:34,54.96,2.18,OK
68,2026-09-15 14:00:04,66.37,1.98,OK
69,2026-09-15 14:00:34,62.36,2.42,OK
70,2026-09-15 14:01:04,54.51,1.64,OK
71,2026-09-15 14:01:34,66.2,2.28,OK
72,2026-09-15 14:02:04,61.76,1.72,OK
73,2026-09-15 14:02:34,62.81,2.19,OK
74,2026-09-15 14:03:04,58.34,1.61,OK
75,2026-09-15 14:03:34,62.9,1.71,OK
76,2026-09-15 14:04:04,56.19,1.57,OK
77,2026-09-15 14:04:34,48.44,1.8,OK
78,2026-09-15 14:05:04,59.22,1.57,OK
79,2026-09-15 14:05:34,58.0,1.55,OK
80,2026-09-15 14:06:04,60.02,1.77,OK
81,2026-09-15 14:06:34,94.85,5.78,ALERT
82,2026-09-15 14:07:04,69.42,1.5,OK
83,2026-09-15 14:07:34,58.0,2.26,OK
84,2026-09-15 14:08:04,58.02,1.21,OK
85,2026-09-15 14:08:34,59.64,1.94,OK
86,2026-09-15 14:09:04,57.75,2.84,OK
87,2026-09-15 14:09:34,61.65,2.22,OK
88,2026-09-15 14:10:04,56.23,1.84,OK
89,2026-09-15 14:10:34,59.32,1.6,OK
90,2026-09-15 14:11:04,59.49,2.69,OK
91,2026-09-15 14:11:34,61.25,1.78,OK
92,2026-09-15 14:12:04,59.93,2.05,OK
93,2026-09-15 14:12:34,57.46,1.65,OK
94,2026-09-15 14:13:04,71.12,7.45,ALERT
95,2026-09-15 14:13:34,65.17,1.57,OK
96,2026-09-15 14:14:04,57.54,1.83,OK
97,2026-09-15 14:14:34,56.17,3.2,OK
98,2026-09-15 14:15:04,66.86,1.01,OK
99,2026-09-15 14:15:34,60.01,2.28,OK
100,2026-09-15 14:16:04,63.81,1.59,OK
101,2026-09-15 14:16:34,66.51,3.14,OK
102,2026-09-15 14:17:04,69.02,1.84,OK
103,2026-09-15 14:17:34,68.07,2.15,OK
104,2026-09-15 14:18:04,68.16,1.55,OK
105,2026-09-15 14:18:34,61.47,1.56,OK
106,2026-09-15 14:19:04,67.89,2.76,OK
107,2026-09-15 14:19:34,61.59,3.09,OK
108,2026-09-15 14:20:04,56.97,3.01,OK
109,2026-09-15 14:20:34,63.24,2.06,OK
110,2026-09-15 14:21:04,68.59,0.82,OK
111,2026-09-15 14:21:34,56.82,1.53,OK
112,2026-09-15 14:22:04,48.47,1.68,OK
113,2026-09-15 14:22:34,63.08,1.93,OK
114,2026-09-15 14:23:04,59.77,2.29,OK
115,2026-09-15 14:23:34,59.42,1.48,OK
116,2026-09-15 14:24:04,55.08,1.96,OK
117,2026-09-15 14:24:34,88.65,7.56,ALERT
118,2026-09-15 14:25:04,58.43,1.03,OK
119,2026-09-15 14:25:34,58.75,2.17,OK
120,2026-09-15 14:26:04,57.9,2.46,OK
121,2026-09-15 14:26:34,59.2,1.5,OK
122,2026-09-15 14:27:04,55.74,2.33,OK
123,2026-09-15 14:27:34,63.64,2.45,OK
124,2026-09-15 14:28:04,55.24,0.84,OK
125,2026-09-15 14:28:34,77.32,7.01,ALERT
126,2026-09-15 14:29:04,53.61,1.58,OK
127,2026-09-15 14:29:34,56.76,2.15,OK
128,2026-09-15 14:30:04,67.25,1.38,OK
129,2026-09-15 14:30:34,65.18,2.37,OK
130,2026-09-15 14:31:04,55.29,2.95,OK
131,2026-09-15 14:31:34,58.34,1.62,OK
132,2026-09-15 14:32:04,63.7,2.07,OK
133,2026-09-15 14:32:34,61.14,1.81,OK
134,2026-09-15 14:33:04,57.75,1.71,OK
135,2026-09-15 14:33:34,56.26,2.02,OK
136,2026-09-15 14:34:04,68.33,2.03,OK
137,2026-09-15 14:34:34,64.12,2.39,OK
138,2026-09-15 14:35:04,84.57,7.36,ALERT
139,2026-09-15 14:35:34,51.34,2.29,OK
140,2026-09-15 14:36:04,66.71,1.94,OK
141,2026-09-15 14:36:34,65.35,1.48,OK
142,2026-09-15 14:37:04,50.58,1.97,OK
143,2026-09-15 14:37:34,66.59,1.4,OK
144,2026-09-15 14:38:04,59.78,2.45,OK
145,2026-09-15 14:38:34,60.6,1.28,OK
146,2026-09-15 14:39:04,59.69,2.24,OK
147,2026-09-15 14:39:34,59.4,2.52,OK
148,2026-09-15 14:40:04,62.34,2.33,OK
149,2026-09-15 14:40:34,59.51,1.79,OK
150,2026-09-15 14:41:04,55.0,1.84,OK
151,2026-09-15 14:41:34,50.49,2.63,OK
152,2026-09-15 14:42:04,56.69,0.89,OK
153,2026-09-15 14:42:34,59.6,2.04,OK
154,2026-09-15 14:43:04,60.21,0.82,OK
155,2026-09-15 14:43:34,52.76,2.48,OK
156,2026-09-15 14:44:04,57.19,1.74,OK
157,2026-09-15 14:44:34,58.88,2.06,OK
158,2026-09-15 14:45:04,57.81,1.45,OK
159,2026-09-15 14:45:34,57.44,2.06,OK
160,2026-09-15 14:46:04,64.93,2.1,OK
161,2026-09-15 14:46:34,67.07,2.15,OK
162,2026-09-15 14:47:04,58.44,2.05,OK
163,2026-09-15 14:47:34,61.06,2.52,OK
164,2026-09-15 14:48:04,53.94,2.69,OK
165,2026-09-15 14:48:34,83.06,8.25,ALERT
166,2026-09-15 14:49:04,55.74,2.7,OK
167,2026-09-15 14:49:34,55.15,1.18,OK
168,2026-09-15 14:50:04,60.32,2.12,OK
169,2026-09-15 14:50:34,65.22,2.64,OK
170,2026-09-15 14:51:04,61.55,2.91,OK
171,2026-09-15 14:51:34,63.38,2.71,OK
172,2026-09-15 14:52:04,66.96,2.73,OK
173,2026-09-15 14:52:34,60.89,2.09,OK
174,2026-09-15 14:53:04,54.45,0.64,OK
175,2026-09-15 14:53:34,59.57,1.77,OK
176,2026-09-15 14:54:04,58.38,1.8,OK
177,2026-09-15 14:54:34,63.99,1.34,OK
178,2026-09-15 14:55:04,68.69,1.89,OK
179,2026-09-15 14:55:34,55.67,2.25,OK
180,2026-09-15 14:56:04,54.72,2.98,OK
181,2026-09-15 14:56:34,70.03,2.94,OK
182,2026-09-15 14:57:04,63.72,1.17,OK
183,2026-09-15 14:57:34,58.68,0.45,OK
184,2026-09-15 14:58:04,62.22,1.3,OK
185,2026-09-15 14:58:34,52.55,2.38,OK
186,2026-09-15 14:59:04,65.62,1.09,OK
187,2026-09-15 14:59:34,62.75,1.7,OK
188,2026-09-15 15:00:04,84.01,5.17,ALERT
189,2026-09-15 15:00:34,62.11,3.04,OK
190,2026-09-15 15:01:04,65.68,1.36,OK
191,2026-09-15 15:01:34,72.14,2.09,OK
192,2026-09-15 15:02:04,58.92,1.32,OK
193,2026-09-15 15:02:34,57.37,1.19,OK
194,2026-09-15 15:03:04,60.59,1.74,OK
195,2026-09-15 15:03:34,58.47,1.52,OK
196,2026-09-15 15:04:04,53.93,2.12,OK
197,2026-09-15 15:04:34,59.89,1.46,OK
198,2026-09-15 15:05:04,59.5,2.45,OK
199,2026-09-15 15:05:34,60.89,2.28,OK
200,2026-09-15 15:06:04,60.24,1.62,OK
